No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara,,,,,
207,CG,33,28,S1,SD,Honorer,Supir,8,2,Ekonomi,Cerai,,,,,
208,CG,36,37,S1,SMA,Honorer,Karyawan PT. Lion Groop,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
209,CT,23,22,SMA,SMA,Karyawan Developer,Karyawan Toko Aksesoris,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
210,CG,22,29,SMA,SMA,t.a,Karyawan,5,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
211,CT,47,33,S1,SMA,Pemilik Toko Service Handphone,t.a,11,6,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
212,CT,23,22,SD,SMP,Supir Kampas Toko Maya,Karyawan Butik ,4,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
213,CG,43,53,SMP,SMP,t.a,Karyawan Kantor Telkom,26,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
214,CG,38,42,SD,SMA,t.a,Penjual Makanan,12,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
215,CG,31,32,SMP,SMA,Karyawan Toko Roti,t.a,4,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
216,CG,31,35,SD,SMA,t.a,Masinis,6,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
217,CG,20,31,SMP,SMA,t.a,Karyawan Rumah Makan,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
218,CT,28,21,SMA,SMA,Karyawan PT,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
219,CG,34,43,SMP,SMA,Karyawan Rumah Makan,t.a,19,2,Meninggalkan Salah Satu Pihak,Tidak Cerai,,,,,
220,CG,26,31,SMA,SMA,Staf Rumah Sakit,Pengusaha Warkop,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
221,CT,43,52,SD,SD,Petani,t.a,8,0,Meninggalkan Salah Satu Pihak,Tidak Cerai,,,,,
222,CT,39,38,SMA,SD,Petani,t.a,19,2,Meninggalkan Salah Satu Pihak,Tidak Cerai,,,,,
223,CG,27,25,S1,S1,t.a,Honorer,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
224,CG,32,35,SMP,SMA,t.a,Petani,13,1,Ekonomi,Tidak Cerai,,,,,
225,CG,43,43,S1,S1,Guru Kontrak,Penjual Ikan,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
226,CT,41,43,SMA,SMA,Operator ATN,t.a,13,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
227,CG,41,43,S1,S1,Honorer,t.a,15,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
228,CG,36,41,SMA,SMA,Staf Kantor,Pengusaha Warkop,2,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
229,CT,37,38,SMA,SMA,Security,t.a,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
230,CG,28,35,D3,SMA,Honorer,Honorer,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
231,CG,23,34,SMA,S1,Penjual Kosmetik,Penjual Campuran,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
232,CG,38,41,SMP,SD,t.a,Penjual Pakaian,14,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
233,CG,41,42,SMP,SD,t.a,Petani,23,3,Mabuk,Cerai,,,,,
234,CG,23,26,SMA,SMA,Karyawan Toko Roti,Pengemudi Becak,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
235,CG,35,35,SD,SD,t.a,Petani,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
236,CG,32,33,SMP,SD,t.a,Supir,9,2,Mabuk,Cerai,,,,,
237,CG,20,22,SMP,SMP,t.a,Buruh Harian,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
238,CG,26,35,SD,SD,t.a,Buruh Bangunan,10,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
239,CG,36,43,SMA,SMP,t.a,Supir,15,5,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
240,CG,19,22,SD,SD,Karyawan Warung,Nelayan,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
241,CG,22,27,SMA,SMA,Karyawan PT,Supir Bus,6,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
242,CG,25,33,SD,SD,Karyawan CV,Nelayan,8,2,Mabuk,Cerai,,,,,
243,CT,31,33,SD,SD,Buruh Bangunan,t.a,12,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
244,CG,24,36,SMA,SMA,t.a,Karyawan JNT,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
245,CG,18,28,SMP,SD,t.a,Petani,2,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
246,CG,31,34,SMA,SMA,t.a,Karyawan PT,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
247,CG,42,45,SD,SMA,t.a,Buruh Bangunan,25,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
248,CG,27,27,SD,SD,t.a,Petani,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
249,CG,24,34,S1,SMA,t.a,Pelaut,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
250,CT,35,30,SMA,SMA,Penjual Makanan,Penjahit Pakaian,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
251,CG,28,34,D3,SD,Karyawan PT,t.a,4,0,Ekonomi,Cerai,,,,,
252,CG,20,32,SMP,SMP,t.a,t.a,2,0,Kawin Paksa,Cerai,,,,,
253,CG,23,24,SMA,S1,t.a,Karyawan Bengkel,5,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
254,CG,30,43,S1,S1,t.a,Karyawan PT,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
255,CG,46,64,SD,SD,t.a,Supir,26,9,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
256,CT,36,36,SMA,SMP,Petani,t.a,15,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
257,CG,31,36,SMP,SMA,Perias Pengantin,Pemilik Bengkel,14,3,KDRT,Tidak Cerai,,,,,
258,CT,27,26,SD,SMP,Supir,t.a,8,1,Ekonomi,Cerai,,,,,
259,CT,54,50,SMA,SD,Petani,t.a,28,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
260,CG,24,30,SMP,SMA,t.a,Buruh Harian,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
261,CG,31,35,SD,SMP,t.a,Supir,14,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
262,CT,29,28,SMA,SMA,Honorer DPRD,t.a,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
263,CG,30,39,SMP,SD,t.a,Buruh Harian,6,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
264,CG,30,32,SMA,S1,Karyawan Toko Emas,Security,12,2,Ekonomi,Cerai,,,,,
265,CG,44,41,SMA,SMP,t.a,Buruh Bangunan,17,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
266,CG,20,25,SMP,SMA,Karyawan Salon,Honorer,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
267,CT,38,29,SD,SD,Penjual Madu,t.a,12,1,Cacat Badan,Cerai,,,,,
268,CT,29,32,SMK,SMA,Karyawan Alfamidi,t.a,6,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
269,CT,37,24,SMA,SMP,Penjual Ayam Krispi,Penjual Ayam Krispi,4,1,Murtad,Tidak Cerai,,,,,
270,CT,32,38,SD,SD,Petani,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
271,CT,45,39,SD,SMP,Honorer,t.a,22,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
272,CG,34,36,SD,SMP,Penjual Barang Campuran,Tukang Las,3,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
273,CG,30,34,SMP,SD,t.a,Supir,12,2,Poligami,Cerai,,,,,
274,CG,32,42,SMA,S1,Karyawan CV,Karyawan Bank,6,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
275,CG,32,34,S1,SMK,t.a,Kurir Lazada,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
276,CG,27,39,SMP,SMP,t.a,Supir,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
277,CG,22,26,SMP,SMA,Karyawan Rumah Makan,Imam Masjid,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
278,CT,36,42,SD,SD,Petani,t.a,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
279,CG,35,41,SMP,SMP,t.a,Penjual Makanan,17,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
280,CG,21,28,SD,SD,t.a,Buruh Bangunan,4,2,Mabuk,Tidak Cerai,,,,,
281,CG,28,33,SMK,S1,Karyawan CV,Guru Honorer,9,2,Ekonomi,Cerai,,,,,
282,CT,40,30,D3,D3,Wiraswasta,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
283,CG,30,41,SMA,SD,t.a,Petani,8,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
284,CG,30,30,SMA,SMA,t.a,Buruh Harian,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
285,CG,20,24,SMP,SD,t.a,Supir,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
286,CT,43,45,SD,SD,Petani,t.a,24,3,Ekonomi,Cerai,,,,,
287,CG,24,24,SMA,SMA,Karyawan CV,t.a,4,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
288,CG,40,45,SMA,SMP,Karyawan,Pedagang Hasil Bumi,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
289,CG,27,30,SMA,SMA,t.a,Karyawan Café,5,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
290,CG,22,22,SMA,SMA,t.a,Supir,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
291,CG,29,29,SD,SD,t.a,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
292,CG,42,39,SMA,SMA,t.a,Supir,12,2,Poligami,Cerai,,,,,
293,CG,26,31,SD,SMA,t.a,Buruh Harian,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
294,CT,37,39,SD,SMA,Petani,t.a,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
295,CG,32,33,S1,SMA,Honorer,TNI,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
296,CG,33,36,SMA,SMP,Penjual Bakso,Buruh Harian,16,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
297,CG,44,49,SD,SD,t.a,Petani,24,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
298,CT,35,33,SD,SD,Petani,Penjual Campuran,8,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
299,CG,39,46,SMA,SMP,Penjual Makanan,Karyawan,10,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
300,CG,38,41,SMK,SMK,Karyawan PT,Karyawan Travel,19,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
301,CG,24,29,S1,SMK,t.a,Buruh Harian,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
302,CG,29,27,SMA,SMA,t.a,Karyawan Toko Maxi,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
303,CT,32,22,SMP,SMA,Nelayan,t.a,6,0,Kawin Paksa,Cerai,,,,,
304,CG,41,43,SD,SD,t.a,Petani,24,4,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
305,CG,30,33,SD,SD,Pelayan,Buruh Harian,15,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
306,CG,23,31,SMP,SMA,Karyawan Toko Roti,t.a,7,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
307,CG,25,39,SMA,SD,Karyawan PT,Tukang Ojek,7,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
308,CG,37,50,SMP,SD,t.a,Tukang Service Elektronik,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
309,CG,26,28,SMP,SMP,t.a,Karyawan PT,7,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
310,CG,31,31,SD,SMP,t.a,Supir Truk,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
311,CG,31,40,SD,SD,Karyawan PT,Petani,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
312,CG,36,37,SLTA,SLTA,Karyawan Bandara,Polri,14,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
313,CG,21,30,SMK,SMA,t.a,Supir,2,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
314,CG,25,38,SMA,SD,t.a,Petani,4,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
315,CG,25,39,SMP,SMA,Penjual Makanan,Ojek Online,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
316,CG,24,30,SMP,SMA,t.a,Petani,6,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
317,CG,53,51,SD,SMA,t.a,Pemilik Bengkel Las,27,2,KDRT,Cerai,,,,,
318,CT,33,27,SMA,SMP,Karyawan PT,t.a,7,1,Ekonomi,Cerai,,,,,
319,CG,27,26,SMA,SD,t.a,Karyawan Gudang,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
320,CG,39,39,SD,SD,t.a,Buruh Bangunan,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
321,CG,53,58,SD,SD,t.a,Buruh Harian,9,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
322,CG,22,30,SMP,SMA,t.a,Karyawan PT,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
323,CG,24,27,SD,SD,Penjual Sayur,Petani,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
324,CT,32,27,SD,SD,Bengkel Alat Berat,t.a,8,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
325,CG,41,50,SD,SMA,t.a,t.a,11,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
326,CG,21,26,SMA,SMA,t.a,Supir,4,1,Madat,Tidak Cerai,,,,,
327,CG,42,42,S1,S1,Honorer Pemkab,Karyawan PT,22,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
328,CG,30,32,D3,S1,Honorer Puskesmas,Kontraktor,13,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
329,CG,35,39,S1,SMA,PNS,TNI,14,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
330,CT,31,29,SMA,SD,Penjual Pakan Ayam,t.a,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
331,CG,21,34,SD,SMA,t.a,Karyawan Bank,5,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
332,CG,25,31,SMA,SMP,Penjahit Pakaian,Karyawan PT,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
333,CG,52,49,SMA,SD,Penjual Barang Campuran,Tukang Ojek,15,0,Mabuk,Cerai,,,,,
334,CG,29,28,SD,SD,t.a,Buruh Harian,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
335,CT,39,33,S1,SMA,Karyawan Wisma,t.a,12,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
336,CT,36,32,SMK,SMA,Security,Honorer,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
337,CT,26,25,SMA,SMA,TNI,t.a,1,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
338,CG,41,47,SMA,SMA,Penjual Makanan,Kontraktor,22,6,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
339,CG,31,41,SMP,SD,t.a,Buruh Harian,13,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
340,CT,36,33,SMK,D3,Karyawan PT,t.a,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
341,CG,21,36,SMP,SMA,t.a,Karyawan,3,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
342,CG,33,34,SMP,SMA,t.a,Security,15,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
343,CG,28,37,SD,SMA,t.a,Nelayan,13,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
344,CG,32,36,SD,SD,t.a,Petani,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
345,CG,34,40,SMA,SMA,t.a,Security,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
346,CG,26,30,SD,SD,Penjual Barang Campuran,t.a,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
347,CT,24,20,SMP,SMP,Petani,t.a,3,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
348,CG,26,32,SMA,SMA,t.a,Security,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
349,CG,22,26,SMA,SMA,Karyawan Apotik,Pelaut,3,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
350,CG,26,32,S1,SMA,Honorer Bemdas,Buruh Harian,6,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
351,CG,23,23,SMP,SMP,Karyawan PT,Buruh Harian,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
352,CT,43,42,SMP,SD,Penjual Bakso,t.a,15,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
353,CG,21,34,SMK,SMA,Karyawan PT,t.a,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
354,CG,20,31,SMK,SMA,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
355,CT,30,28,SMK,SMA,Karyawan Mall,Karyawan ,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
356,CG,31,32,D3,SMA,Honorer Rumah Sakit,t.a,6,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
357,CG,25,31,SMP,SD,Penjual Makanan,Supir,10,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
358,CG,33,48,SD,SMA,t.a,Pemborong Bangunan,15,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
359,CG,26,31,SD,SD,t.a,Buruh Harian,9,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
360,CG,19,23,SD,SD,t.a,Buruh Bangunan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
361,CG,44,45,SMP,SD,t.a,Buruh Harian,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
362,CG,28,32,SD,t.a,t.a,Karyawan,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
363,CG,21,26,SMA,SMA,t.a,Supir,4,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
364,CG,26,28,SMA,S1,Karyawan PT,Karyawan PT,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
365,CG,23,28,SMA,SMA,Karyawan PT,Karyawan PT,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
366,CG,35,35,SD,SD,Karyawan Rumah Makan,Buruh Harian,12,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
367,CT,31,23,SMK,SMK,Karyawan PT,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
368,CT,31,26,SMA,S1,Karyawan Bosowa,Karyawan Honda,9,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
369,CG,25,30,SMA,SMA,t.a,Satpol PP,2,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
370,CT,35,28,SMA,SD,Buruh Bangunan,t.a,10,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
371,CG,39,43,SMA,SD,t.a,Buruh Harian,15,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
372,CG,23,24,SMA,SMP,Karyawan SPBU,t.a,5,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
373,CT,29,22,SD,SD,Karyawan PT,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
374,CG,22,23,SMA,SMA,Karyawan PT,t.a,3,1,Ekonomi,Tidak Cerai,,,,,
375,CG,33,38,S1,D3,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
376,CG,30,34,D3,SMA,Penjual Barang Campuran,Petani Tambang Batu Nikel,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
377,CG,27,29,SMP,SMA,t.a,Buruh Harian,9,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
378,CG,27,23,SMA,SMA,t.a,Security,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
379,CG,26,28,SMA,SD,Karyawan PT,Karyawan Bosowa,8,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
380,CG,26,29,SMP,SD,Penjual Minuman ,Buruh Harian,9,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
381,CT,44,32,SD,SD,Petani,t.a,7,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
382,CT,32,24,SD,SD,Ketua RT,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
383,CT,40,40,t.a,t.a,Wiraswasta,t.a,19,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
384,CT,39,46,SMP,SD,Jual Beli Hasil Bumi,t.a,6,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
385,CG,38,42,D3,SMP,Penjual Kosmetik,Penjual Kosmetik,17,5,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
386,CT,39,39,D4,SMA,PNS,t.a,16,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
387,CG,38,37,S1,SMP,Honorer,Penjual Handphone,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
388,CT,49,42,S1,SMA,Karyawan PT,t.a,21,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
389,CG,24,24,SMK,SMA,t.a,Petani,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
390,CT,32,25,SMA,SMP,Wiraswasta,tdk,9,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
391,CT,52,49,D3,SMA,Konsultan Bangunan,t.a,21,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
392,CG,34,36,S1,SMA,t.a,Buruh Harian,13,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
393,CG,31,34,S1,S1,Honorer Guru,Honorer Guru,7,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
394,CG,46,48,SD,SMP,t.a,Petani,28,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
395,CG,57,49,SD,SD,t.a,Petani,11,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
396,CG,32,33,tdk,tdk,Honorer,PNS,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
397,CT,37,27,SMA,SMA,Wiraswasta,t.a,7,1,Murtad,Cerai,,,,,
398,CG,32,46,SD,SD,t.a,Buruh Bangunan,9,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
399,CG,21,27,SMP,SD,Karyawan PT,Petani,3,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
400,CG,46,52,SMA,SMA,t.a,Karyawan PT,23,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
401,CT,43,32,SMA,SMA,Karyawan PT,t.a,13,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
402,CG,29,42,SD,SD,t.a,Supir,10,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
403,CG,30,32,SMK,SMA,t.a,Buruh Harian,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
404,CG,52,41,SMA,SMP,Penceramah,Penjual Ikan,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
405,CG,33,34,SD,SD,t.a,t.a,13,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
406,CT,38,38,SMU,SMU,Jual Beli Rumah,t.a,11,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
407,CT,40,35,S1,SD,Honorer,t.a,12,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
408,CG,26,27,SMA,SMA,t.a,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
409,CT,42,29,SMK,SMA,Penjual Daging,t.a,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
410,CG,36,34,D3,D3,Perum LPPNPI Airnav Indonesia,t.a,11,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
411,CG,48,57,SD,SMA,t.a,Penjual Tahu/Tempe,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
412,CG,25,21,SMA,SD,t.a,Buruh Bangunan,2,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
413,CG,34,35,SMA,SMA,t.a,Karyawan Hotel,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
414,CT,47,47,SMP,SD,Petani,t.a,29,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
415,CG,24,37,SMP,SMA,Karyawan,t.a,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
416,CG,32,40,SMP,SMA,Karyawan Rumah Makan,Petani,12,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
417,CT,29,22,SD,SMP,Karyawan PT,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
418,CG,28,22,SD,SD,t.a,Petani,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
419,CT,27,25,SMA,D3,Security,Honorer,2,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
420,CG,48,56,SMA,S1,Penjual Makanan,PNS,28,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
421,CG,24,36,SMP,S1,Karyawan Rumah Makan,Karyawan Toko,2,0,KDRT,Tidak Cerai,,,,,
422,CG,44,48,S1,SMA,Honorer,Tukang Bengkel Las,24,2,Poligami,Tidak Cerai,,,,,
