No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara
3632,CG,24,26,SMK,SD,Karyawan PT,Buruh Bangunan,4,1,Meninggalkan Salah Satu Pihak,Cerai
3633,CG,47,57,SMA,SD,Penjual Pakaian Anak,t.a,34,2,Meninggalkan Salah Satu Pihak,Cerai
3634,CG,32,40,SD,SD,t.a,Petani,13,1,Meninggalkan Salah Satu Pihak,Cerai
3635,CG,37,52,SD,SD,t.a,Petani,17,0,Meninggalkan Salah Satu Pihak,Cerai
3636,CT,46,38,SD,SMP,Petani,t.a,24,3,Perselisihan dan pertengkaran terus menerus,Cerai
3637,CG,39,40,SMA,SMA,Operator SPBU,Security,16,1,Perselisihan dan pertengkaran terus menerus,Cerai
3638,CT,43,42,SD,SD,Buruh Bangunan,t.a,22,2,Meninggalkan Salah Satu Pihak,Cerai
3639,CG,29,25,S1,S1,Honorer,Karyawan PT,1,0,Perselisihan dan pertengkaran terus menerus,Cerai
3640,CG,20,27,SMP,SMA,t.a,Kuli Bangunan,4,0,Perselisihan dan pertengkaran terus menerus,Cerai
3641,CG,22,27,SD,S1,t.a,Karyawan Warkop,2,0,Perselisihan dan pertengkaran terus menerus,Cerai
3642,CG,47,51,SMA,S1,t.a,PNS,27,3,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3643,CT,41,38,S1,S1,Kepala Sekolah SD,t.a,18,3,Meninggalkan Salah Satu Pihak,Cerai
3644,CG,70,60,SD,SD,t.a,Nelayan,20,0,Meninggalkan Salah Satu Pihak,Cerai
3645,CG,27,33,SMA,SMA,t.a,t.a,10,1,Perselisihan dan pertengkaran terus menerus,Cerai
3646,CG,36,49,SMP,SMA,t.a,Kuli Bangunan,10,2,Perselisihan dan pertengkaran terus menerus,Cerai
3647,CG,24,26,SMA,D3,t.a,t.a,2,1,Perselisihan dan pertengkaran terus menerus,Cerai
3648,CG,23,28,SMA,SMA,Karyawan Gudang,Pedagang Ayam Potong,4,1,Meninggalkan Salah Satu Pihak,Cerai
3649,CG,31,33,SD,SD,t.a,Buruh Harian,11,2,Perselisihan dan pertengkaran terus menerus,Cerai
3650,CT,27,23,SMA,SMA,Karyawan Indogrosir,SPG,2,0,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3651,CG,23,29,SMA,SMA,Karyawan PT,t.a,3,0,Perselisihan dan pertengkaran terus menerus,Cerai
3652,CG,47,51,SD,SD,Petani,t.a,32,1,Perselisihan dan pertengkaran terus menerus,Cerai
3653,CG,48,58,SMP,SMA,t.a,Petani,30,2,Meninggalkan Salah Satu Pihak,Cerai
3654,CG,30,43,SD,SD,t.a,Buruh Bangunan,12,1,Perselisihan dan pertengkaran terus menerus,Cerai
3655,CG,20,25,SMP,SMA,t.a,Petani,4,1,Perselisihan dan pertengkaran terus menerus,Cerai
3656,CG,26,36,SMP,SMP,t.a,Buruh Bangunan,9,2,Perselisihan dan pertengkaran terus menerus,Cerai
3657,CG,34,41,SMA,SMA,Karyawan PT,Grab,10,0,Perselisihan dan pertengkaran terus menerus,Cerai
3658,CT,40,37,SD,SMP,Penjual Sayur,t.a,14,3,Perselisihan dan pertengkaran terus menerus,Cerai
3659,CG,28,40,SD,SMA,t.a,Karyawan PT,11,1,Meninggalkan Salah Satu Pihak,Cerai
3660,CG,22,34,SMP,SMA,t.a,Petani,2,0,Perselisihan dan pertengkaran terus menerus,Cerai
3661,CG,54,58,SLTA,D3,t.a,Kontraktor,26,4,Perselisihan dan pertengkaran terus menerus,Cerai
3662,CG,35,34,SD,SMP,t.a,Supir,10,0,Perselisihan dan pertengkaran terus menerus,Cerai
3663,CG,47,63,SMA,S1,Pedagang,Pensiunan PNS,5,0,Perselisihan dan pertengkaran terus menerus,Cerai
3664,CG,40,40,S1,SMK,Marketing,Tukang Ojek,16,1,Meninggalkan Salah Satu Pihak,Cerai
3665,CG,31,41,SD,SD,t.a,Karyawan PT,10,2,Perselisihan dan pertengkaran terus menerus,Cerai
3666,CG,26,44,SMA,SD,t.a,Nelayan,6,0,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3667,CG,44,44,SLTP,SLTP,t.a,Buruh Harian,24,2,Meninggalkan Salah Satu Pihak,Cerai
3668,CG,23,33,SD,SD,t.a,Petani,9,2,Perselisihan dan pertengkaran terus menerus,Cerai
3669,CG,36,34,SMP,SMP,t.a,Petani,11,1,Meninggalkan Salah Satu Pihak,Cerai
3670,CG,43,43,S1,SMA,Honorer,Petani,24,3,Meninggalkan Salah Satu Pihak,Cerai
3671,CG,25,36,SD,SD,t.a,Petani,8,1,Meninggalkan Salah Satu Pihak,Cerai
3672,CG,23,31,t.a,t.a,t.a,Wiraswasta,7,1,Perselisihan dan pertengkaran terus menerus,Cerai
3673,CG,46,52,SMP,SMA,t.a,Karyawan PT,23,2,Meninggalkan Salah Satu Pihak,Cerai
3674,CT,45,36,SD,SMP,Buruh Bangunan,Buruh Bangunan,18,2,Perselisihan dan pertengkaran terus menerus,Cerai
3675,CG,51,55,SMA,SMP,Pedagang,Petani,26,2,Meninggalkan Salah Satu Pihak,Cerai
3676,CT,32,32,SMA,S1,Petani,t.a,6,1,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3677,CT,36,35,t.a,t.a,Wiraswasta,t.a,7,0,Perselisihan dan pertengkaran terus menerus,Cerai
3678,CG,40,36,t.a,t.a,Wiraswasta,Wiraswasta,11,2,Perselisihan dan pertengkaran terus menerus,Cerai
3679,CG,25,36,SMP,SD,Pengasuh Anak,Petani,6,1,Meninggalkan Salah Satu Pihak,Cerai
3680,CG,24,22,SD,SD,Kasir,t.a,3,0,Perselisihan dan pertengkaran terus menerus,Cerai
3681,CG,43,47,SMP,SMA,Karyawan PT,Pedagang Pakaian,16,3,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3682,CG,38,38,SMA,SMA,Staff Kantor Desa,Pedagang,17,2,Perselisihan dan pertengkaran terus menerus,Cerai
3683,CG,25,27,D3,SMK,Asisten Apoteker,Karyawan,1,-,Perselisihan dan pertengkaran terus menerus,Cerai
3684,CG,28,35,SMP,SMA,t.a,Buruh Bangunan,8,0,Perselisihan dan pertengkaran terus menerus,Cerai
3685,CG,28,38,SMP,SMA,t.a,Karyawan SPBU,9,1,Meninggalkan Salah Satu Pihak,Cerai
3686,CG,39,42,SLTP,STM,Karyawan PT,Nelayan,13,2,Meninggalkan Salah Satu Pihak,Cerai
3687,CG,22,37,SD,SD,t.a,Petani,5,0,Meninggalkan Salah Satu Pihak,Cerai
3688,CG,45,48,SMA,SMP,t.a,Buruh Harian,21,4,Meninggalkan Salah Satu Pihak,Cerai
3689,CG,31,26,SD,SD,t.a,Buruh Bangunan,13,2,Perselisihan dan pertengkaran terus menerus,Cerai
3690,CG,36,36,SMP,SMP,t.a,Petani,14,2,Meninggalkan Salah Satu Pihak,Cerai
3691,CG,23,24,SD,SMK,t.a,Bengkel Motor,2,0,Meninggalkan Salah Satu Pihak,Cerai
3692,CT,31,31,SMA,SMA,Kepala Toko,t.a,3,0,Perselisihan dan pertengkaran terus menerus,Cerai
3693,CG,26,33,S1,SD,Staff Perpus,Petani,3,2,Perselisihan dan pertengkaran terus menerus,Cerai
3694,CG,22,28,SMA,SMA,t.a,t.a,4,0,Perselisihan dan pertengkaran terus menerus,Cerai
3695,CG,26,31,SMP,SMA,t.a,Supir,8,2,Perselisihan dan pertengkaran terus menerus,Cerai
3696,CG,26,35,SMP,SMA,Karyawan,Supir,8,2,Madat,Cerai
3697,CG,20,22,SMA,SD,t.a,Petani,3,1,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3698,CT,48,43,SMP,SMA,Pedagang,t.a,11,4,Perselisihan dan pertengkaran terus menerus,Cerai
3699,CG,25,28,SMK,SMA,t.a,Avsec bandara,3,0,Perselisihan dan pertengkaran terus menerus,Cerai
3700,CG,20,24,SMK,SMK,t.a,Pengelolah Warung Makan,1,0,Perselisihan dan pertengkaran terus menerus,Cerai
3701,CT,26,24,S1,S1,Honorer,Honorer,1,0,Perselisihan dan pertengkaran terus menerus,Cerai
3702,CG,22,28,SMP,SD,Penjaga Toko,Buruh Bangunan,6,0,Meninggalkan Salah Satu Pihak,Cerai
3703,CG,34,32,SMA,SD,t.a,Buruh Bangunan,6,0,Perselisihan dan pertengkaran terus menerus,Cerai
3704,CG,45,47,SMA,S1,Karyawan,PNS,26,4,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3705,CT,30,27,SMK,SMA,Karyawan,t.a,4,1,Perselisihan dan pertengkaran terus menerus,Cerai
3706,CG,22,25,D3,D3,Honorer,Karyawan,3,1,Perselisihan dan pertengkaran terus menerus,Cerai
