No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara
1,CG,43,42,SD,SD,t.a,Penjual,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2,CT,27,26,SD,SD,Buruh Harian,Buruh Harian,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
3,CG,29,44,S1,S1,Karyawan,t.a,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
4,CG,39,39,SMA,SMP,t.a,Petani,17,0,Ekonomi,Cerai
5,CG,23,33,D3,SMA,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
6,CT,50,44,S1,SMA,Pengusaha CV,PNS,18,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
7,CG,23,33,SD,SD,t.a,Buruh Harian,7,0,Mabuk,Cerai
8,CG,22,26,SMA,SD,t.a,Supir,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
9,CG,25,28,SMP,SMP,Karyawan,Karyawan,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
10,CG,26,32,D3,SMA,Karyawan,PNS,2,0,Meninggalkan Salah Satu Pihak,Cerai
11,CT,52,51,SD,SD,t.a,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
12,CT,28,33,S1,S1,t.a,t.a,3,1,Kawin Paksa,Cerai
13,CG,27,28,SD,SD,t.a,Tukang Ojek,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
14,CG,46,53,SMA,SMP,t.a,Pensiunan,23,2,Ekonomi,Cerai
15,CG,38,35,SD,SD,Petani,Petani,16,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
16,CG,45,40,SD,SMP,t.a,Petani,8,2,KDRT,Cerai
17,CG,31,38,SD,SD,t.a,t.a,14,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
18,CG,38,42,SMA,SMA,t.a,t.a,8,1,KDRT,Cerai
19,CT,47,39,SMA,S1,Supir,PNS,20,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
20,CG,32,31,SMP,SMP,Karyawan,Karyawan,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
21,CG,32,31,SMP,SMP,Karyawan,Karyawan,3,0,Meninggalkan Salah Satu Pihak,Tidak Cerai
22,CG,29,25,SMA,SMA,t.a,Cleaning Service,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
23,CG,25,27,SMP,SD,t.a,t.a,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
24,CG,41,50,S1,S1,PNS,PNS,3,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
25,CT,32,24,SMP,SD,Buruh Bangunan,t.a,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
26,CG,20,43,SD,SD,t.a,Petani,19,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
27,CG,28,30,SMA,SMK,Karyawan,Karyawan,12,2,KDRT,Cerai
28,CG,29,29,SD,t.a,t.a,Petani,8,1,Meninggalkan Salah Satu Pihak,Cerai
29,CG,40,62,S1,S1,PNS,PNS,13,3,Poligami,Cerai
30,CT,32,29,SMA,SMA,Security,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
31,CG,19,31,SMP,SMA,Petani,Petani,2,0,Meninggalkan Salah Satu Pihak,Cerai
32,CG,29,23,SD,SMP,Petani,Petani,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
33,CG,36,42,SD,SMA,Karyawan,t.a,15,2,Meninggalkan Salah Satu Pihak,Cerai
34,CG,35,35,SMP,SMP,Karyawan,t.a,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
35,CG,44,47,SD,SMA,t.a,Penjual Ikan,25,4,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
36,CG,24,34,SD,SD,t.a,Wiraswasta,6,1,Mabuk,Cerai
37,CT,35,33,SD,SD,Petani Tambak,t.a,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
38,CG,20,24,SMA,SMA,t.a,Buruh Bangunan,2,0,Meninggalkan Salah Satu Pihak,Cerai
39,CG,29,35,SMP,SMP,t.a,Buruh Bangunan,9,1,KDRT,Cerai
40,CG,26,29,SD,SD,Penjual Sayur,Petani,5,0,Meninggalkan Salah Satu Pihak,Cerai
41,CT,39,32,SMA,SD,Karyawan,t.a,15,2,KDRT,Cerai
42,CT,37,36,SMA,SMA,Karyawan,Karyawan,7,0,Meninggalkan Salah Satu Pihak,Cerai
43,CG,26,28,SMA,SMP,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
44,CG,30,40,SMP,SD,Penjual Pakaian,Petani,4,0,Meninggalkan Salah Satu Pihak,Cerai
45,CG,27,31,SMA,SD,Karyawan,t.a,5,0,KDRT,Cerai
46,CG,32,31,S1,SMA,Honorer,Petani,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
47,CG,21,41,SMP,SMP,t.a,Karyawan,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
48,CT,31,31,SMA,SMA,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
49,CG,26,31,SD,SD,Karyawan,Nelayan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
50,CT,42,33,SMA,SMA,Penjual Ayam,t.a,11,0,Meninggalkan Salah Satu Pihak,Cerai
51,CT,29,27,S1,SMK,Karyawan,t.a,5,1,KDRT,Cerai
52,CT,33,50,SMP,SMA,Karyawan,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
53,CT,26,28,SMA,SMA,Pelaut,t.a,6,2,Meninggalkan Salah Satu Pihak,Tidak Cerai
54,CG,27,26,SMA,SMP,Karyawan,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
55,CG,22,24,SD,SD,t.a,Petani,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
56,CG,43,55,SMA,SMA,Karyawan,PNS,26,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
57,CT,27,29,SMK,D3,Security,PNS,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
58,CG,21,27,SMA,SMA,t.a,Karyawan,3,0,Mabuk,Tidak Cerai
59,CT,31,23,SD,SMP,Petani,t.a,8,1,Ekonomi,Cerai
60,CT,48,30,SD,SMP,Tukang Cukur,t.a,11,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
61,CG,19,22,SMK,SMA,t.a,t.a,2,1,Meninggalkan Salah Satu Pihak,Cerai
62,CT,35,32,SD,SMA,Tukang Batu,t.a,5,1,KDRT,Cerai
63,CG,48,30,SMA,SMP,t.a,t.a,5,0,Meninggalkan Salah Satu Pihak,Cerai
64,CG,36,38,S1,S1,Honorer,t.a,5,1,Poligami,Cerai
65,CG,28,31,SMK,S1,t.a,t.a,5,2,KDRT,Cerai
66,CG,25,26,SD,SD,t.a,Karyawan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
67,CG,27,33,SMA,SMA,t.a,Security,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
68,CG,30,26,SMA,SMA,t.a,Supir,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
69,CG,40,46,SMP,SMP,t.a,Nelayan,17,3,Meninggalkan Salah Satu Pihak,Cerai
70,CG,50,55,SD,SD,t.a,Supir,36,1,KDRT,Cerai
71,CG,33,30,S1,SMA,Penjual,Karyawan,5,1,Ekonomi,Tidak Cerai
72,CT,37,36,SD,SD,Penjual Ikan,t.a,17,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
73,CG,36,28,SMA,SD,t.a,Nelayan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
74,CG,24,28,SMA,SD,t.a,Petani Tambak,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
75,CG,29,39,SD,SMA,Karyawan,Cleaning Service,3,0,KDRT,Cerai
76,CG,27,38,S1,SMA,t.a,t.a,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
77,CT,36,35,S1,S1,Pengusaha,Honorer,15,3,Ekonomi,Tidak Cerai
78,CT,40,26,SMA,SMP,Karyawan,t.a,6,1,Meninggalkan Salah Satu Pihak,Cerai
79,CG,38,39,SMA,SMA,t.a,Karyawan,19,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
80,CG,21,27,SMA,t.a,t.a,t.a,4,0,KDRT,Cerai
81,CG,24,32,SD,SD,t.a,Petani Tambak,7,2,KDRT,Cerai
82,CG,31,38,SMA,SMA,Honorer,Pedagang,10,2,Meninggalkan Salah Satu Pihak,Cerai
83,CT,24,20,SMA,t.a,Karyawan,Karyawan,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
84,CG,36,38,SD,SD,t.a,Penjual Ikan,21,3,Poligami,Cerai
85,CG,41,41,SMA,SMA,t.a,Karyawan,18,2,KDRT,Tidak Cerai
86,CG,22,24,SMP,SD,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
87,CG,37,31,SMA,SMA,t.a,t.a,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
88,CG,43,41,SMP,SMP,t.a,t.a,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
89,CG,41,59,SMA,SD,t.a,Petani,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
90,CG,26,31,SMA,SMA,t.a,Karyawan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
91,CT,53,47,SMK,SD,PNS,t.a,1,0,KDRT,Cerai
92,CG,31,37,SMP,SMP,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
93,CG,31,34,S1,D3,Karyawan,Karyawan,3,0,Meninggalkan Salah Satu Pihak,Cerai
94,CG,34,46,SD,SD,t.a,t.a,15,1,KDRT,Cerai
95,CT,30,29,S1,D3,Honorer,Honorer,4,2,Ekonomi,Tidak Cerai
96,CG,30,32,SMP,SMA,t.a,Honorer,2,0,KDRT,Cerai
97,CG,49,42,SMA,SMA,t.a,Karyawan,17,3,KDRT,Cerai
98,CG,50,45,SMA,STM,PNS,t.a,3,0,KDRT,Cerai
99,CG,40,43,SD,SD,t.a,Petani,5,1,Mabuk,Tidak Cerai
100,CG,43,46,SD,SD,Karyawan,Petani Tambak,25,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
101,CG,23,24,SMA,SMA,Karyawan,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
102,CT,28,27,SMA,SMA,t.a,t.a,4,0,KDRT,Cerai
103,CG,41,44,SMK,SMK,t.a,Makelar,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
104,CT,55,47,SD,t.a,Penjual,Penjual,29,5,Meninggalkan Salah Satu Pihak,Cerai
105,CG,20,27,SD,SMA,t.a,t.a,3,1,KDRT,Cerai
106,CT,45,43,SMA,SMA,Karyawan,Wiraswasta,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
107,CG,49,56,SD,t.a,Buruh Harian,t.a,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
108,CG,38,46,SD,SMA,t.a,Penjual Ikan,21,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
109,CG,24,27,D3,SMA,t.a,Karyawan,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
110,CG,30,39,D1,SMA,Usaha Butik,t.a,11,3,KDRT,Cerai
111,CT,34,19,SMA,SD,Karyawan,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
112,CG,43,42,t.a,SD,t.a,Photografer,10,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
113,CG,35,42,SD,SD,t.a,Petani,24,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
114,CT,30,25,SMP,SD,Buruh Harian,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
115,CT,31,25,S1,S1,Karyawan,PNS,5,0,KDRT,Cerai
116,CG,62,50,SPG,S1,Pensiunan,t.a,25,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
117,CG,27,25,D3,SD,Honorer,t.a,1,0,KDRT,Cerai
118,CT,34,32,SMK,SMP,Karyawan,t.a,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
119,CG,26,26,D3,S1,Honorer,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
120,CG,30,29,SD,SD,t.a,Makelar,9,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
121,CG,29,43,SMA,SD,Karyawan,Supir,12,2,KDRT,Cerai
122,CG,34,27,t.a,SD,t.a,Petani,5,2,Ekonomi,Cerai
123,CG,29,32,SD,SMP,t.a,t.a,2,1,Meninggalkan Salah Satu Pihak,Cerai
124,CG,42,36,SMA,SMA,t.a,Penjual,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
125,CG,32,34,SMA,SMA,Usaha Cathering,t.a,13,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
126,CG,42,30,SMA,SMA,Karyawan,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
127,CT,61,41,t.a,SD,t.a,t.a,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
128,CG,38,39,SMA,SMA,Usaha Toko Roti,Penjual Buah,17,3,KDRT,Cerai
129,CG,19,22,SMP,SMP,t.a,Nelayan,2,1,Meninggalkan Salah Satu Pihak,Cerai
130,CG,19,21,SD,SD,t.a,Supir,2,1,Poligami,Cerai
131,CG,31,32,SMA,SMA,t.a,t.a,11,2,KDRT,Cerai
132,CG,22,26,SD,SD,Penjual Kepiting,Nelayan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
133,CG,37,48,SMP,S1,Karyawan,Honorer,20,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
134,CG,38,45,SMA,SMA,Honorer,PNS,19,2,KDRT,Cerai
135,CG,32,33,SMP,SMA,Usaha Konter,Karyawan,10,0,KDRT,Cerai
136,CG,29,35,SMP,SMP,t.a,Buruh Bangunan,9,1,KDRT,Cerai
137,CG,22,25,SD,SD,t.a,Petani,5,1,KDRT,Cerai
138,CG,27,25,SMA,SMA,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
139,CG,31,32,SMA,SMA,t.a,Polri,10,0,Meninggalkan Salah Satu Pihak,Cerai
140,CG,29,33,SMA,SD,t.a,t.a,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
141,CG,20,23,SMP,SD,Karyawan,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
142,CT,28,24,SMA,SMA,Karyawan,Honorer,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
143,CG,27,33,SMA,SMA,Penjual,Karyawan,8,2,KDRT,Cerai
144,CG,41,52,S1,S1,PNS,PNS,8,1,Meninggalkan Salah Satu Pihak,Cerai
145,CT,34,35,SMA,SMA,TNI,t.a,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
146,CG,48,54,SMP,SMP,t.a,Pensiunan,20,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
147,CG,41,43,SD,SMP,t.a,Petani,22,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
148,CG,24,26,SMA,SMA,Cleaning Service,Security,5,1,KDRT,Cerai
149,CG,40,41,SMA,SMA,Honorer,PNS,14,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
150,CG,36,27,S1,SMP,Honorer,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
151,CG,44,49,SMA,SMA,Karyawan,t.a,19,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
152,CG,20,24,SMP,SD,Karyawan,Supir,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
153,CG,26,26,S1,SMA,t.a,PNS,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
154,CG,38,39,SMA,SMP,Penjual Pakaian,t.a,16,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
155,CT,34,30,S1,S1,Wiraswasta,PNS,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
156,CT,31,26,S1,SMA,Honorer,t.a,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
157,CG,21,25,SMP,SMP,t.a,t.a,3,0,Meninggalkan Salah Satu Pihak,Cerai
158,CG,29,39,SMP,SMA,t.a,Karyawan,6,1,KDRT,Cerai
159,CG,26,28,SMA,SMA,t.a,t.a,2,1,Meninggalkan Salah Satu Pihak,Cerai
160,CT,24,30,SMA,SD,Karyawan,t.a,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
161,CG,33,28,SD,SD,t.a,Supir,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
162,CG,22,34,SD,SD,t.a,Wiraswasta,5,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
163,CT,33,31,SD,SD,Nelayan,t.a,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
164,CG,28,26,S1,S1,t.a,Karyawan,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
165,CG,27,32,SD,SD,Karyawan,Tukang Batu,7,0,Kawin Paksa,Cerai
166,CG,27,41,SD,SD,t.a,Penjual,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
167,CG,28,29,SD,SD,Karyawan,Supir,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
168,CG,25,28,SMA,SMA,Karyawan,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
169,CG,31,37,SMA,SMA,Wiraswasta,Karyawan,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
170,CT,30,30,SMA,SMA,Developer,PNS,10,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
171,CG,19,25,SMA,SMA,t.a,Wiraswasta,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
172,CG,17,20,SMA,SD,t.a,petani,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
173,CG,20,22,SD,SD,Petani,Petani,3,1,Ekonomi,Cerai
174,CT,40,30,SMA,SMA,Wiraswasta,t.a,6,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
175,CG,24,29,S1,S1,Honorer,t.a,3,1,Meninggalkan Salah Satu Pihak,Cerai
176,CG,27,31,S1,SMA,Karyawan,t.a,8,0,Kawin Paksa,Cerai
177,CG,26,28,SD,SMK,Karyawan,Karyawan,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
178,CG,64,54,SPG,SMA,Pensiunan,PNS,35,3,Ekonomi,Cerai
179,CG,33,28,SD,SD,t.a,t.a,9,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
180,CG,18,21,SMA,SMP,Karyawan,Karyawan,2,1,KDRT,Cerai
181,CG,33,39,SMA,SMP,t.a,petani,12,0,KDRT,Cerai
182,CG,41,41,SD,SMP,t.a,t.a,20,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
183,CG,40,42,SD,SMA,t.a,t.a,22,2,Poligami,Tidak Cerai
184,CG,31,34,SMA,SMA,Karyawan,Security,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
185,CG,22,45,SMP,SMA,Karyawan,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
186,CG,22,24,SD,SD,t.a,Tukang Ojek,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
187,CG,27,31,SMA,SMA,t.a,t.a,8,0,Meninggalkan Salah Satu Pihak,Cerai
188,CG,33,35,SMA,SMA,Karyawan,Karyawan,15,2,Meninggalkan Salah Satu Pihak,Cerai
189,CG,33,50,SMK,SD,Petani,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
190,CT,27,22,SMA,SMA,Karyawan,Honorer,3,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
191,CT,33,29,SMA,SD,t.a,t.a,11,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
192,CG,24,31,SD,SMA,t.a,Buruh Bangunan,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
193,CG,37,34,SMA,SMP,Penjual,t.a,9,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
194,CT,37,29,SMA,SMP,Cleaning Service,t.a,12,2,Meninggalkan Salah Satu Pihak,Cerai
195,CG,40,36,D2,SMA,Honorer,Karyawan,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
196,CG,28,28,SD,SD,t.a,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
197,CG,53,57,S1,S2,PNS,Dokter,17,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
198,CG,34,34,SD,SMP,t.a,t.a,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
199,CG,27,29,D3,SMA,t.a,Pelaut,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
200,CT,51,51,D3,SD,Buruh Harian,t.a,31,3,Meninggalkan Salah Satu Pihak,Cerai
201,CG,19,30,SD,SD,t.a,Buruh Bangunan,2,0,Meninggalkan Salah Satu Pihak,Cerai
202,CG,43,42,SMA,SMA,Wiraswasta,Wartawan,9,1,Meninggalkan Salah Satu Pihak,Tidak Cerai
203,CG,29,31,D3,D3,PNS,PNS,6,1,Meninggalkan Salah Satu Pihak,Cerai
204,CG,25,22,D3,SMA,t.a,Karyawan,3,1,KDRT,Cerai
205,CG,20,22,SMP,SMA,t.a,Nelayan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
206,CT,47,47,S1,S1,Asisten Pribadi,Agen PT,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
207,CG,22,34,SD,SMA,t.a,Security,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
208,CG,43,44,SMA,SMA,Honorer,Developer,18,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
209,CT,40,47,S1,SMA,Jual Beli Sapi,t.a,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
210,CT,34,34,SD,SMP,Nelayan,Karyawan,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
211,CT,84,53,SD,SD,Petani,Penjual,1,0,Meninggalkan Salah Satu Pihak,Cerai
212,CG,43,55,SMA,SMA,t.a,t.a,25,5,Meninggalkan Salah Satu Pihak,Cerai
213,CG,37,40,S1,SMA,t.a,Wartawan,8,0,Meninggalkan Salah Satu Pihak,Cerai
214,CT,29,22,SMK,SMA,Karyawan,t.a,5,0,Meninggalkan Salah Satu Pihak,Cerai
215,CG,33,39,SMK,SD,t.a,Buruh Bangunan,14,1,Meninggalkan Salah Satu Pihak,Cerai
216,CG,46,47,SD,SD,t.a,Buruh Bangunan,28,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
217,CT,27,24,SMA,SMA,t.a,Penjual Barang Pecah Belah,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
218,CG,17,21,SMP,SMP,t.a,Nelayan,1,0,Meninggalkan Salah Satu Pihak,Cerai
219,CG,19,23,SMA,SD,Karyawan,Buruh Bangunan,2,0,Meninggalkan Salah Satu Pihak,Cerai
220,CG,20,20,SMK,SMK,t.a,t.a,2,1,Meninggalkan Salah Satu Pihak,Cerai
221,CG,41,46,S1,SMP,Agen Produk,Petani,24,3,Poligami,Cerai
222,CG,19,21,SD,SD,t.a,Buruh Bangunan,1,0,Meninggalkan Salah Satu Pihak,Cerai
223,CT,25,30,SD,SD,Nelayan,t.a,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
224,CG,21,23,SMP,SD,t.a,Karyawan,2,1,Meninggalkan Salah Satu Pihak,Cerai
225,CG,48,56,D2,S1,t.a,PNS,25,2,Meninggalkan Salah Satu Pihak,Cerai
226,CT,33,36,SD,SD,Penjual Ikan,t.a,13,2,Meninggalkan Salah Satu Pihak,Cerai
227,CG,26,33,D3,D3,Honorer,pelaut,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
228,CG,20,35,SD,SD,t.a,Supir,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
229,CG,22,32,SMP,SMP,t.a,petani,5,1,KDRT,Cerai
230,CG,32,34,SMP,SMP,Karyawan,Karyawan,14,2,KDRT,Cerai
231,CT,25,29,SMP,SMA,t.a,t.a,8,1,KDRT,Cerai
232,CT,38,42,SD,SMA,t.a,Karyawan,18,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
233,CG,42,45,STM,S1,Karyawan,Honorer,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
234,CG,37,38,SD,SMA,t.a,Karyawan,20,5,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
235,CG,36,38,SMA,SMA,t.a,TNI,16,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
236,CG,23,29,SD,SD,t.a,Buruh Bangunan,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
237,CG,24,36,SMA,SD,Karyawan,Penjual Buah,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
238,CG,23,27,SMK,SMK,t.a,Makelar,5,1,Meninggalkan Salah Satu Pihak,Cerai
239,CT,39,37,SD,SD,Petani,t.a,17,2,Mabuk,Tidak Cerai
240,CG,40,41,SMP,SMP,Karyawan,Karyawan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
241,CG,37,38,SMA,SD,Agen PT,Tukang Batu,16,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
242,CG,36,40,SD,SMA,t.a,Petani,10,1,Ekonomi,Cerai
243,CG,46,47,SMA,SMA,t.a,t.a,20,2,Ekonomi,Tidak Cerai
244,CG,39,40,STM,SMA,t.a,Buruh Bangunan,5,1,Meninggalkan Salah Satu Pihak,Cerai
245,CG,45,51,SMA,SMA,Wiraswasta,Supir,19,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
246,CG,28,29,S1,SMA,t.a,POLRI,2,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
247,CG,22,27,SMA,SMA,t.a,Petani,4,0,Kawin Paksa,Cerai
248,CG,28,34,SMA,SMA,t.a,Karyawan,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
249,CG,25,27,SMA,SMA,Karyawan,Karyawan,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
250,CG,24,29,SMA,SMA,t.a,Buruh Bangunan,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
251,CG,36,39,SD,SD,t.a,t.a,14,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
252,CG,36,38,SMA,SMA,Karyawan,t.a,16,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
253,CT,33,26,SMA,SMP,Wiraswasta,t.a,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
254,CT,25,26,SD,SMP,Penjual Ayam,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
255,CG,32,32,SMA,SD,t.a,Supir,10,2,Judi,Cerai
